country,child_mort,exports,health,income,inflation
Afghanistan,90.2,10.0,7.58,1610,9.44
Albania,16.6,28.0,6.55,9930,4.49
Algeria,27.3,38.4,4.17,12900,16.1
Angola,119.0,62.3,2.85,5900,22.4
Antigua and Barbuda,10.3,45.5,6.03,19100,1.44
Argentina,14.5,18.9,8.1,18700,20.9
Armenia,18.1,20.8,4.4,6700,7.77
Australia,4.8,19.8,8.73,41400,1.16
Austria,4.3,51.3,11.0,43200,0.873
Azerbaijan,39.2,54.3,5.88,16000,13.8
Bahamas,13.8,35.0,7.89,22900,-0.393
Bahrain,8.6,69.5,4.97,41100,7.44
Bangladesh,49.4,16.0,3.52,2440,7.14
Barbados,14.2,39.5,7.97,15300,0.321
Belarus,5.5,51.4,5.61,16200,15.1
Belgium,4.5,76.4,10.7,41100,1.88
Belize,18.8,58.2,5.2,7880,1.14
Benin,111.0,23.8,4.1,1820,0.885
Bhutan,42.7,42.5,5.2,6420,5.99
Bolivia,46.6,41.2,4.84,5410,8.78
Bosnia and Herzegovina,6.9,29.7,11.1,9720,1.4
Botswana,52.5,43.6,8.3,13300,8.92
Brazil,19.8,10.7,9.01,14500,8.41
Bulgaria,10.8,50.2,6.87,15300,1.11
Burkina Faso,116.0,19.2,6.74,1430,6.81
Burundi,93.6,8.92,11.6,764,12.3
Cambodia,44.4,54.1,5.68,2520,3.12
Cameroon,108.0,22.2,5.13,2660,1.91
Canada,5.6,29.1,11.3,40700,2.87
Cape Verde,26.5,32.7,4.09,5830,0.505
Chile,8.7,37.7,7.96,19400,8.96
China,15.7,26.3,5.07,9530,6.94
Colombia,18.6,15.9,7.59,10900,3.86
Comoros,88.2,16.5,4.51,1410,3.87
"Congo, Dem. Rep.",116.0,41.1,7.91,609,20.8
"Congo, Rep.",63.9,85.1,2.46,5190,20.7
Costa Rica,10.2,33.2,10.9,13000,6.57
Cote d'Ivoire,111.0,50.6,5.3,2690,5.39
Croatia,5.5,37.6,7.76,20100,0.821
Cyprus,3.6,50.2,5.97,33900,2.01
Czech Republic,3.4,66.0,7.88,28300,-1.43
Denmark,4.1,50.5,11.4,44000,3.22
Dominican Republic,34.4,22.7,6.22,11100,5.44
Ecuador,25.1,27.9,8.06,9350,7.47
Egypt,29.1,21.3,4.66,9860,10.1
El Salvador,19.2,26.9,6.91,7300,2.65
Eritrea,55.2,4.79,2.66,1420,11.6
Estonia,4.5,75.1,6.03,22700,1.74
Fiji,24.1,57.8,4.86,7350,4.23
Finland,3.0,38.7,8.95,39800,0.351
France,4.2,26.8,11.9,36900,1.05
Gabon,63.7,57.7,3.5,15400,16.6
Gambia,80.3,23.8,5.69,1660,4.3
Georgia,16.5,35.0,10.1,6730,8.55
Germany,4.2,42.3,11.6,40400,0.758
Ghana,74.7,29.5,5.22,3060,16.6
Greece,3.9,22.1,10.3,28700,0.673
Grenada,14.6,23.8,5.86,11200,0.48
Guatemala,35.4,25.8,6.85,6710,5.14
Guinea,109.0,30.3,4.93,1190,16.1
Guinea-Bissau,114.0,14.9,8.5,1390,2.97
Guyana,37.6,51.4,5.38,5840,5.73
Hungary,6.0,81.8,7.33,22300,2.33
Iceland,2.6,53.4,9.4,38800,5.47
India,58.8,22.6,4.05,4410,8.98
Indonesia,33.3,24.3,2.61,8430,15.3
Iran,19.3,24.4,5.6,17400,15.9
Iraq,36.9,39.4,8.41,12700,16.6
Israel,4.6,35.0,7.63,29600,1.77
Italy,4.0,25.2,9.53,36200,0.319
Jamaica,18.1,31.3,4.81,8000,9.81
Japan,3.2,15.0,9.49,35800,-1.9
Jordan,21.1,48.3,8.04,9470,8.43
Kazakhstan,21.5,44.2,4.29,20100,19.5
Kenya,62.2,20.7,4.75,2480,2.09
Kiribati,62.7,13.3,11.3,1730,1.52
Kyrgyz Republic,29.6,51.6,6.18,2790,10.0
Lao,78.9,35.4,4.47,3980,9.2
Latvia,7.8,53.7,6.68,18300,-0.812
Lebanon,10.3,35.8,7.03,16300,0.238
